,Event,TimeControl,endFEN,moves,mated_by,Winner,victory_status,wKing_sqr,bKing_sqr,wQueen_sqr,bQueen_sqr,wRook_sqr,bRook_sqr,wRook2_sqr,bRook2_sqr,wBishop_sqr,bBishop_sqr,wBishop2_sqr,bBishop2_sqr,wKnight_sqr,bKnight_sqr,wKnight2_sqr,bKnight2_sqr,avg_Elo
4815,Rated Classical game,600+0,4k2r/p4ppp/2p1p2n/3pP3/PP3r2/2Pq1P2/3N1P1P/R4RK1 w k - 0 19,19,,black,resign,"(7, 6)","(0, 4)","(None, None)","(5, 3)","(7, 0)","(0, 7)","(7, 5)","(4, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 3)","(2, 7)","(None, None)","(None, None)",1662.5
4816,Rated Classical game,600+3,r3k3/8/7p/6p1/q1PpPP2/b2P4/p2B4/R1K4R w - - 3 35,35,Bishop,black,mate,"(7, 2)","(0, 4)","(None, None)","(4, 0)","(7, 0)","(0, 0)","(7, 7)","(None, None)","(6, 3)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1282.0
4817,Rated Classical game,600+0,Q7/1R6/8/k7/8/5P2/8/6K1 b - - 12 59,59,Queen,white,mate,"(7, 6)","(3, 0)","(0, 0)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1428.0
4818,Rated Bullet game,60+0,r1bqk2r/ppp2Qpp/8/n1bnp1N1/8/3B4/PPPP1PPP/RNB1K2R b KQkq - 0 8,8,Queen,white,mate,"(7, 4)","(0, 4)","(1, 5)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(5, 3)","(0, 2)","(7, 2)","(3, 2)","(3, 6)","(3, 0)","(7, 1)","(3, 3)",1402.5
4819,Rated Bullet game,60+0,8/5R2/8/8/1P2k3/4r3/P1P2p1P/6K1 w - - 0 40,40,,black,outoftime,"(7, 6)","(4, 4)","(None, None)","(None, None)","(1, 5)","(5, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1353.5
4820,Rated Classical game,300+5,3r3k/6pp/1p3nb1/8/2B5/2N5/PPpp1PPP/5RK1 w - - 2 25,25,,black,outoftime,"(7, 6)","(0, 7)","(None, None)","(None, None)","(7, 5)","(0, 3)","(None, None)","(None, None)","(4, 2)","(2, 6)","(None, None)","(None, None)","(5, 2)","(2, 5)","(None, None)","(None, None)",1894.5
4821,Rated Blitz game,300+1,5r2/p2N4/2p2rk1/1p2Rp2/1P1P1Rp1/2P3P1/P5P1/6K1 b - - 2 29,29,,white,resign,"(7, 6)","(2, 6)","(None, None)","(None, None)","(3, 4)","(0, 5)","(4, 5)","(2, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)",1370.5
4822,Rated Blitz game,180+0,4r1k1/p1p5/1p1p2np/5pp1/K3qp2/2r4P/P4QP1/1R5R w - - 8 35,35,,black,outoftime,"(4, 0)","(0, 6)","(6, 5)","(4, 4)","(7, 1)","(0, 4)","(7, 7)","(5, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 6)","(None, None)","(None, None)",1725.0
4823,Rated Bullet game,60+0,4k2r/5ppp/2q1p3/3n4/1P6/5P2/2P3PP/rNKRR3 w k - 0 23,23,,black,resign,"(7, 2)","(0, 4)","(None, None)","(2, 2)","(7, 3)","(0, 7)","(7, 4)","(7, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(7, 1)","(3, 3)","(None, None)","(None, None)",1896.5
4824,Rated Bullet game,30+0,r2q1b1r/ppp1k1pp/2npQn2/4p1N1/4P3/2P5/PP1P1PPP/RNB1K2R b KQ - 0 8,8,Queen,white,mate,"(7, 4)","(1, 4)","(2, 4)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 5)","(None, None)","(None, None)","(3, 6)","(2, 2)","(7, 1)","(2, 5)",1921.0
4825,Rated Bullet game,60+0,8/8/1p6/8/8/r2Q4/1q6/1k2K3 b - - 5 41,41,,white,outoftime,"(7, 4)","(7, 1)","(5, 3)","(6, 1)","(None, None)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1439.0
4826,Rated Bullet game,60+0,1Q6/5p1p/2p1p1p1/2Qp4/P2P4/3kP2P/5PP1/5RK1 w - - 2 36,36,,black,outoftime,"(7, 6)","(5, 3)","(0, 1)","(None, None)","(7, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1463.0
4827,Rated Bullet game,60+0,r1k4r/8/1p5b/1bQ4p/p2P3N/R1P4P/6P1/1N3RK1 b - - 4 29,29,,white,outoftime,"(7, 6)","(0, 2)","(3, 2)","(None, None)","(5, 0)","(0, 0)","(7, 5)","(0, 7)","(None, None)","(2, 7)","(None, None)","(3, 1)","(4, 7)","(None, None)","(7, 1)","(None, None)",1145.5
4828,Rated Classical game,600+0,2r1k2r/1p3p2/pnq3pb/2Bp3p/3PpP1P/1P2n1PN/P5K1/RN1Q3R w k - 0 19,19,,black,resign,"(6, 6)","(0, 4)","(7, 3)","(2, 2)","(7, 0)","(0, 2)","(7, 7)","(0, 7)","(3, 2)","(2, 7)","(None, None)","(None, None)","(5, 7)","(2, 1)","(7, 1)","(5, 4)",1293.0
4829,Rated Blitz game,180+0,2kr1bnr/ppp4q/2np1p2/4P3/4P3/2P1BPp1/PPQ1B1P1/RN3RK1 w - - 0 15,15,,black,resign,"(7, 6)","(0, 2)","(6, 2)","(1, 7)","(7, 0)","(0, 3)","(7, 5)","(0, 7)","(5, 4)","(0, 5)","(6, 4)","(None, None)","(7, 1)","(0, 6)","(None, None)","(2, 2)",1533.0
4830,Rated Bullet game,30+0,8/2K5/1P3k2/7P/8/8/4B3/8 b - - 0 60,60,,white,outoftime,"(1, 2)","(2, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2376.5
4831,Rated Bullet game,60+0,7k/7Q/2p5/2P3N1/3K1P1P/8/8/8 b - - 6 41,41,Queen,white,mate,"(4, 3)","(0, 7)","(1, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 6)","(None, None)","(None, None)","(None, None)",1717.5
4832,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,5kR1/5p2/3p1P2/2pB4/2Pp4/prbP4/P1K5/4r1R1 b - - 1 33,33,Rook,white,mate,"(6, 2)","(0, 5)","(None, None)","(None, None)","(0, 6)","(5, 1)","(7, 6)","(7, 4)","(3, 3)","(5, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1497.0
4833,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,5r1k/p5b1/2p3p1/1p3p1p/4p3/NQP2P1P/PP1r1q2/R3RK2 w - - 4 27,27,Queen,black,mate,"(7, 5)","(0, 7)","(5, 1)","(6, 5)","(7, 0)","(0, 5)","(7, 4)","(6, 3)","(None, None)","(1, 6)","(None, None)","(None, None)","(5, 0)","(None, None)","(None, None)","(None, None)",1748.5
4834,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,r4rk1/pb2bppp/4pn2/P2p4/3N2n1/2NBP2P/1PPBQPPq/R4RK1 w - - 1 15,15,Queen,black,mate,"(7, 6)","(0, 6)","(6, 4)","(6, 7)","(7, 0)","(0, 0)","(7, 5)","(0, 5)","(5, 3)","(1, 1)","(6, 3)","(1, 4)","(4, 3)","(2, 5)","(5, 2)","(4, 6)",1984.0
4835,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,7r/pbp2k1r/1p6/3pPPp1/6B1/3P2RP/PPP4K/4R3 b - - 0 33,33,,white,outoftime,"(6, 7)","(1, 5)","(None, None)","(None, None)","(5, 6)","(0, 7)","(7, 4)","(1, 7)","(4, 6)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1576.0
4836,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/1pk3r1/pn2K3/3p3R/3Pp3/8/PP6/1B6 w - - 6 45,45,,black,outoftime,"(2, 4)","(1, 2)","(None, None)","(None, None)","(3, 7)","(1, 6)","(None, None)","(None, None)","(7, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 1)","(None, None)","(None, None)",1908.5
4837,Rated Classical game,300+8,5rk1/p4p1p/2Q5/4P3/8/1PP3Pb/P2r3q/R3R2K w - - 0 24,24,Queen,black,mate,"(7, 7)","(0, 6)","(2, 2)","(6, 7)","(7, 0)","(0, 5)","(7, 4)","(6, 3)","(None, None)","(5, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1451.5
4838,Rated Blitz game,180+0,r1bqr1k1/1p1n1pbp/5np1/p1p1p3/2P1P3/1PN1B1PP/P3NPB1/R4RK1 w - - 0 15,15,,black,resign,"(7, 6)","(0, 6)","(None, None)","(0, 3)","(7, 0)","(0, 0)","(7, 5)","(0, 4)","(5, 4)","(0, 2)","(6, 6)","(1, 6)","(5, 2)","(1, 3)","(6, 4)","(2, 5)",2011.5
4839,Rated Blitz game,180+0,3r1k1r/1pq1Ppp1/2p4p/p7/P4b2/2N1QN1P/1P3PP1/2R1R1K1 b - - 0 23,23,,white,resign,"(7, 6)","(0, 5)","(5, 4)","(1, 2)","(7, 2)","(0, 3)","(7, 4)","(0, 7)","(None, None)","(4, 5)","(None, None)","(None, None)","(5, 2)","(None, None)","(5, 5)","(None, None)",2101.0
4840,Rated Blitz game,180+0,8/5p1k/3p2pp/8/2N3n1/PP3P2/2P3Pr/2B2RK1 b - - 0 32,32,,white,outoftime,"(7, 6)","(1, 7)","(None, None)","(None, None)","(7, 5)","(6, 7)","(None, None)","(None, None)","(7, 2)","(None, None)","(None, None)","(None, None)","(4, 2)","(4, 6)","(None, None)","(None, None)",1588.5
4841,Rated Blitz game,180+0,rn1k2nr/1bpp3p/5p1b/7p/PP6/3p4/5P2/q2KR3 w - - 0 21,21,Queen,black,mate,"(7, 3)","(0, 3)","(None, None)","(7, 0)","(7, 4)","(0, 0)","(None, None)","(0, 7)","(None, None)","(1, 1)","(None, None)","(2, 7)","(None, None)","(0, 1)","(None, None)","(0, 6)",1033.0
4842,Rated Blitz game,180+0,4r1k1/2Q2ppp/2p5/8/1P6/P1PP4/q1K5/4R3 w - - 5 30,30,,black,outoftime,"(6, 2)","(0, 6)","(1, 2)","(6, 0)","(7, 4)","(0, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1732.0
4843,Rated Blitz game,180+0,6k1/1p3pQ1/p3rB2/8/4q3/2P4P/P4PP1/R5K1 b - - 0 30,30,Queen,white,mate,"(7, 6)","(0, 6)","(1, 6)","(4, 4)","(7, 0)","(2, 4)","(None, None)","(None, None)","(2, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1869.0
4844,Rated Blitz game,180+0,8/5pk1/3r2p1/1R5p/7P/6P1/5PK1/8 b - - 6 34,34,,draw,draw,"(6, 6)","(1, 6)","(None, None)","(None, None)","(3, 1)","(2, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1982.5
4845,Rated Blitz game,180+0,4r1k1/1p4p1/2p1n3/p2p1p1q/3PnP1p/BP2PR1P/P5PK/4Q1R1 b - - 3 29,29,,white,resign,"(6, 7)","(0, 6)","(7, 4)","(3, 7)","(5, 5)","(0, 4)","(7, 6)","(None, None)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 4)","(None, None)","(4, 4)",1618.5
4846,Rated Blitz game,180+0,8/3br3/3p4/1R1P1p1p/1K1k4/8/5R1P/8 w - - 1 45,45,,black,outoftime,"(4, 1)","(4, 3)","(None, None)","(None, None)","(3, 1)","(1, 4)","(6, 5)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2153.0
4847,Rated Bullet game,60+0,7b/4k2b/2p4P/8/8/7K/8/1q6 b - - 1 53,53,,white,outoftime,"(5, 7)","(1, 4)","(None, None)","(7, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(0, 7)","(None, None)","(1, 7)","(None, None)","(None, None)","(None, None)","(None, None)",1914.0
4848,Rated Blitz game,60+10,4r1k1/1bp2p1p/p5p1/1p1P4/2PN1b2/1B1Q1P1P/PP2r1q1/3R1RK1 w - - 0 29,29,Queen,black,mate,"(7, 6)","(0, 6)","(5, 3)","(6, 6)","(7, 3)","(0, 4)","(7, 5)","(6, 4)","(5, 1)","(1, 1)","(None, None)","(4, 5)","(4, 3)","(None, None)","(None, None)","(None, None)",1704.0
4849,Rated Blitz game,180+1,8/4R2k/3r2pb/7p/2P5/1P6/P4PPP/5RK1 b - - 0 30,30,,white,outoftime,"(7, 6)","(1, 7)","(None, None)","(None, None)","(1, 4)","(2, 3)","(7, 5)","(None, None)","(None, None)","(2, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1474.0
4850,Rated Classical game,300+8,6r1/3k4/2pBpp2/KqP3p1/4p1Pp/2P4P/4b3/8 w - - 14 49,49,Queen,black,mate,"(3, 0)","(1, 3)","(None, None)","(3, 1)","(None, None)","(0, 6)","(None, None)","(None, None)","(2, 3)","(6, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1534.0
4851,Rated Classical game,480+0,2rq1Bk1/p6p/4p1p1/4p3/3P2P1/1PP4P/P2n1PK1/R4R2 w - - 0 25,25,,black,resign,"(6, 6)","(0, 6)","(None, None)","(0, 3)","(7, 0)","(0, 2)","(7, 5)","(None, None)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(6, 3)","(None, None)","(None, None)",1734.5
4852,Rated Blitz game,300+0,4R1k1/5p2/4pbpQ/p2b4/2pP3P/2P5/P2Bq1PK/8 b - - 0 33,33,Rook,white,mate,"(6, 7)","(0, 6)","(2, 7)","(6, 4)","(0, 4)","(None, None)","(None, None)","(None, None)","(6, 3)","(2, 5)","(None, None)","(3, 3)","(None, None)","(None, None)","(None, None)","(None, None)",1694.5
4853,Rated Blitz game,300+0,r3r1k1/3q1p1p/p1nnpPpQ/1p1p4/2pP2P1/P1P2N1P/1P2BP2/R4RK1 b - - 2 21,21,,white,resign,"(7, 6)","(0, 6)","(2, 7)","(1, 3)","(7, 0)","(0, 0)","(7, 5)","(0, 4)","(6, 4)","(None, None)","(None, None)","(None, None)","(5, 5)","(2, 2)","(None, None)","(2, 3)",1582.0
4854,Rated Blitz game,300+0,3r2k1/p4p2/2np3B/4pb2/8/2P5/P1PKB2q/R7 w - - 0 24,24,,black,resign,"(6, 3)","(0, 6)","(None, None)","(6, 7)","(7, 0)","(0, 3)","(None, None)","(None, None)","(2, 7)","(3, 5)","(6, 4)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)",1640.0
4855,Rated Blitz game,180+0,2R3k1/p4ppp/5N2/8/3P4/5NPb/Pq3P1P/4b1K1 b - - 1 21,21,Knight,white,mate,"(7, 6)","(0, 6)","(None, None)","(6, 1)","(0, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 7)","(None, None)","(7, 4)","(2, 5)","(None, None)","(5, 5)","(None, None)",1381.0
4856,Rated Blitz game,300+0,6r1/p4p1p/2p3k1/6Q1/7P/6P1/PPP1PP2/3R1RK1 b - - 0 23,23,Queen,white,mate,"(7, 6)","(2, 6)","(3, 6)","(None, None)","(7, 3)","(0, 6)","(7, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1070.0
4857,Rated Blitz game,300+0,r2n2k1/2Q1p1bp/8/p2p3q/1p1Pp2P/P3P3/BPPB2P1/5RK1 w - - 1 32,32,,black,outoftime,"(7, 6)","(0, 6)","(1, 2)","(3, 7)","(7, 5)","(0, 0)","(None, None)","(None, None)","(6, 0)","(1, 6)","(6, 3)","(None, None)","(None, None)","(0, 3)","(None, None)","(None, None)",1664.0
4858,Rated Blitz game,300+0,7r/2Q2pkp/4pnp1/4b3/6qK/8/P4PPP/8 w - - 4 30,30,Queen,black,mate,"(4, 7)","(1, 6)","(1, 2)","(4, 6)","(None, None)","(0, 7)","(None, None)","(None, None)","(None, None)","(3, 4)","(None, None)","(None, None)","(None, None)","(2, 5)","(None, None)","(None, None)",914.5
4859,Rated Blitz game,300+3,8/p1p5/2K5/2P2k1p/2P2p1P/5r2/8/4B1q1 w - - 0 55,55,,black,resign,"(2, 2)","(3, 5)","(None, None)","(7, 6)","(None, None)","(5, 5)","(None, None)","(None, None)","(7, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1569.0
4860,Rated Blitz game,300+0,3R2k1/1p3ppp/p7/3P3r/P3P3/3Q1P2/6PP/3R2K1 b - - 0 31,31,Rook,white,mate,"(7, 6)","(0, 6)","(5, 3)","(None, None)","(0, 3)","(3, 7)","(7, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1850.5
4861,Rated Blitz game,180+5,8/8/8/4k3/8/8/5K2/8 w - - 0 63,63,,draw,draw,"(6, 5)","(3, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1449.0
4862,Rated Blitz game,300+0,8/p1p1n3/4k3/2p5/2N5/KPP5/P6r/4R3 b - - 3 48,48,,white,outoftime,"(5, 0)","(2, 4)","(None, None)","(None, None)","(7, 4)","(6, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 2)","(1, 4)","(None, None)","(None, None)",1566.0
4863,Rated Blitz game,300+3,8/7p/6k1/6B1/R4P2/8/bP3K2/8 b - - 0 41,41,,white,resign,"(6, 5)","(2, 6)","(None, None)","(None, None)","(4, 0)","(None, None)","(None, None)","(None, None)","(3, 6)","(6, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1455.0
4864,Rated Blitz game,180+0,5r2/ppQ4p/3p2pk/3P4/4q3/1P2n1PK/P7/6R1 w - - 7 44,44,,black,outoftime,"(5, 7)","(2, 7)","(1, 2)","(4, 4)","(7, 6)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 4)","(None, None)","(None, None)",1852.0
4865,Rated Blitz game,300+3,8/5k2/7K/5q2/8/8/8/8 w - - 20 80,80,,draw,draw,"(2, 7)","(1, 5)","(None, None)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1318.0
4866,Rated Bullet game,120+0,2r3k1/pp4p1/4b2B/4p3/P4p1Q/b4P2/2qKBP1P/4R2R w - - 0 29,29,Queen,black,mate,"(6, 3)","(0, 6)","(4, 7)","(6, 2)","(7, 4)","(0, 2)","(7, 7)","(None, None)","(2, 7)","(2, 4)","(6, 4)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)",1604.5
4867,Rated Bullet game,60+0,4k3/p7/8/2p1P3/3Pn3/2P5/PP4PK/8 w - - 0 36,36,,black,outoftime,"(6, 7)","(0, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 4)","(None, None)","(None, None)",1503.0
4868,Rated Blitz game,180+3,8/1R1npk2/2P5/3P4/3BPp2/5P1b/2K1B1r1/2N1b3 b - - 0 40,40,,white,outoftime,"(6, 2)","(1, 5)","(None, None)","(None, None)","(1, 1)","(6, 6)","(None, None)","(None, None)","(4, 3)","(5, 7)","(6, 4)","(7, 4)","(7, 2)","(1, 3)","(None, None)","(None, None)",1985.0
4869,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,r2q1rk1/ppp2ppp/3b1n2/1B1p4/8/1PNQ1P1b/PBPP1P2/R4RK1 w - - 0 13,13,,black,resign,"(7, 6)","(0, 6)","(5, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 5)","(0, 5)","(3, 1)","(2, 3)","(6, 1)","(5, 7)","(5, 2)","(2, 5)","(None, None)","(None, None)",2112.5
4870,Rated Blitz game,180+0,r4rk1/ppp3pp/4q3/8/8/8/2P2PPP/5RK1 w - - 0 19,19,,black,resign,"(7, 6)","(0, 6)","(None, None)","(2, 4)","(7, 5)","(0, 0)","(None, None)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1347.0
4871,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,1k6/1p5q/pP1r1p2/P1pPp3/2P1PpRb/5Q1P/4KP2/8 b - - 0 35,35,,white,outoftime,"(6, 4)","(0, 1)","(5, 5)","(1, 7)","(4, 6)","(2, 3)","(None, None)","(None, None)","(None, None)","(4, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1759.5
4872,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,r7/1p4pk/7p/8/p3p1q1/8/2R2R1P/3r1K2 w - - 6 44,44,Rook,black,mate,"(7, 5)","(1, 7)","(None, None)","(4, 6)","(6, 2)","(0, 0)","(6, 5)","(7, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1996.5
4873,Rated Blitz game,180+3,6r1/p1p5/1p3pb1/1k2r3/8/8/8/2K5 w - - 0 38,38,,black,outoftime,"(7, 2)","(3, 1)","(None, None)","(None, None)","(None, None)","(0, 6)","(None, None)","(3, 4)","(None, None)","(2, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1412.0
4874,Rated Blitz tournament https://lichess.org/tournament/1q4FjeDi,180+0,8/p7/1p6/8/1K6/8/2pk4/R7 w - - 1 56,56,,black,outoftime,"(4, 1)","(6, 3)","(None, None)","(None, None)","(7, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1927.5
4875,Rated Blitz game,300+0,4r3/3R2pk/7p/4p3/6Pb/3p1P2/5n2/6K1 w - - 0 39,39,,black,outoftime,"(7, 6)","(1, 7)","(None, None)","(None, None)","(1, 3)","(0, 4)","(None, None)","(None, None)","(None, None)","(4, 7)","(None, None)","(None, None)","(None, None)","(6, 5)","(None, None)","(None, None)",1177.5
4876,Rated Bullet game,120+1,1r6/8/5p2/4kP1p/1pK4P/5RP1/8/8 b - - 8 51,51,,white,outoftime,"(4, 2)","(3, 4)","(None, None)","(None, None)","(5, 5)","(0, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1497.0
4877,Rated Blitz game,180+5,rnb3nr/pp4Qk/2p2pNB/4p2B/4P3/2b5/qPP2PPP/2KR3R b - - 1 17,17,Queen,white,mate,"(7, 2)","(1, 7)","(1, 6)","(6, 0)","(7, 3)","(0, 0)","(7, 7)","(0, 7)","(2, 7)","(0, 2)","(3, 7)","(5, 2)","(2, 6)","(0, 1)","(None, None)","(0, 6)",1295.5
4878,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,,black,resign,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1837.5
4879,Rated Bullet game,30+0,8/R4p1p/1N6/kp1N4/8/8/5PPP/6K1 b - - 3 31,31,Rook,white,mate,"(7, 6)","(3, 0)","(None, None)","(None, None)","(1, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 1)","(None, None)","(3, 3)","(None, None)",1506.5
4880,Rated Bullet game,60+0,5rk1/p4ppp/2b3n1/2p5/3b1P2/1P4PP/P2Br2K/R4R2 w - - 3 24,24,,black,resign,"(6, 7)","(0, 6)","(None, None)","(None, None)","(7, 0)","(0, 5)","(7, 5)","(6, 4)","(6, 3)","(2, 2)","(None, None)","(4, 3)","(None, None)","(2, 6)","(None, None)","(None, None)",1618.0
4881,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,1n2k3/3p1p1r/p3p3/4Qp2/P3bP2/5qP1/R6P/2r3K1 w - - 3 32,32,Rook,black,mate,"(7, 6)","(0, 4)","(3, 4)","(5, 5)","(6, 0)","(1, 7)","(None, None)","(7, 2)","(None, None)","(4, 4)","(None, None)","(None, None)","(None, None)","(0, 1)","(None, None)","(None, None)",1337.0
4882,Rated Classical game,900+0,5b1r/2q1p1p1/p3kpQ1/8/5B2/6P1/P4P2/2RR2K1 w - - 0 26,26,,white,resign,"(7, 6)","(2, 4)","(2, 6)","(1, 2)","(7, 2)","(0, 7)","(7, 3)","(None, None)","(4, 5)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1512.0
4883,Rated Blitz game,180+2,1k1r3r/1Qp2q2/2B5/2pn4/6pp/P1N3P1/1PP2P1P/R3R1K1 b - - 1 26,26,Queen,white,mate,"(7, 6)","(0, 1)","(1, 1)","(1, 5)","(7, 0)","(0, 3)","(7, 4)","(0, 7)","(2, 2)","(None, None)","(None, None)","(None, None)","(5, 2)","(3, 3)","(None, None)","(None, None)",1450.5
4884,Rated Classical tournament https://lichess.org/tournament/whc7Blcq,600+0,8/p6R/1p2p2k/3p3p/7P/3B4/r1PK1PR1/8 b - - 0 34,34,Rook,white,mate,"(6, 3)","(2, 7)","(None, None)","(None, None)","(1, 7)","(6, 0)","(6, 6)","(None, None)","(5, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2057.5
4885,Rated Classical game,600+0,r5k1/ppp3pp/8/4P3/3p1r2/3BK1b1/PPPN3q/R2Q1R2 w - - 0 19,19,Pawn,black,mate,"(5, 4)","(0, 6)","(7, 3)","(6, 7)","(7, 0)","(0, 0)","(7, 5)","(4, 5)","(5, 3)","(5, 6)","(None, None)","(None, None)","(6, 3)","(None, None)","(None, None)","(None, None)",1515.0
4886,Rated Classical game,660+8,3qr1k1/nb1rbp2/p3p1pp/1pp1P2n/5P2/1PP2NPP/PB1NBQ1K/3R1R2 w - - 4 27,27,,black,outoftime,"(6, 7)","(0, 6)","(6, 5)","(0, 3)","(7, 3)","(0, 4)","(7, 5)","(1, 3)","(6, 1)","(1, 1)","(6, 4)","(1, 4)","(5, 5)","(1, 0)","(6, 3)","(3, 7)",1528.5
4887,Rated Classical game,600+0,8/8/7p/p6P/1p6/1P2p3/P2k1p2/5K2 w - - 2 48,48,,black,resign,"(7, 5)","(6, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1993.0
