Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
DML24608,Kt357838,2015-01-20,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357838,2015.05,Genbank,2015-01-20
DML25103,Kt357853,2015-02-19,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357853,2015.13,Genbank,2015-02-19
DML24611,Kt357839,2015-01-21,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357839,2015.05,Genbank,2015-01-21
DML24601,Kt357834,2015-01-20,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357834,2015.05,Genbank,2015-01-20
DML24818,Kt357848,2015-02-03,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357848,2015.09,Genbank,2015-02-03
DML24573,Kt357831,2015-01-18,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357831,2015.05,Genbank,2015-01-18
DML24620,Kt357840,2015-01-21,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357840,2015.05,Genbank,2015-01-21
DML24502,Kt357825,2015-01-13,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357825,2015.03,Genbank,2015-01-13
DML24669,Kt357841,2015-01-25,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357841,2015.07,Genbank,2015-01-25
DML24683,Kt357843,2015-01-26,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357843,2015.07,Genbank,2015-01-26
DML24606,Kt357837,2015-01-20,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357837,2015.05,Genbank,2015-01-20
DML24758,Kt357847,2015-01-30,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357847,2015.08,Genbank,2015-01-30
DML24605,Kt357836,2015-01-20,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357836,2015.05,Genbank,2015-01-20
DML24604,Kt357835,2015-01-20,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357835,2015.05,Genbank,2015-01-20
DML24677,Kt357842,2015-01-25,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357842,2015.07,Genbank,2015-01-25
DML24853,Kt357850,2015-02-06,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357850,2015.10,Genbank,2015-02-06
DML24854,Kt357851,2015-02-06,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357851,2015.10,Genbank,2015-02-06
G5019.1,Kr105294,2014-08-16,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105294,2014.62,Genbank,2014-08-16
J0055,Kp759723,2014-10-06,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759723,2014.76,Genbank,2014-10-06
J0034,Kp759608,2014-09-30,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759608,2014.74,Genbank,2014-09-30
V20143659,Kr653256,2014-11-03,Subsaharan Africa,Sierra Leone,Koinadugu,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653256,2014.84,Genbank,2014-11-03
V20143938,Kr653264,2014-11-07,Subsaharan Africa,Sierra Leone,Koinadugu,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653264,2014.85,Genbank,2014-11-07
V20143648,Kr653253,2014-11-03,Subsaharan Africa,Sierra Leone,Koinadugu,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653253,2014.84,Genbank,2014-11-03
MK2918,Ku296300,2015-03-10,Subsaharan Africa,Sierra Leone,Koinadugu,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296300,2015.19,Genbank,2015-03-10
MK2656,Ku296577,2015-03-03,Subsaharan Africa,Sierra Leone,Koinadugu,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296577,2015.17,Genbank,2015-03-03
MK3050,Ku296445,2015-03-14,Subsaharan Africa,Sierra Leone,Koinadugu,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296445,2015.20,Genbank,2015-03-14
J0023,Kp759652,2014-10-01,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759652,2014.75,Genbank,2014-10-01
MK0592,Ku296814,2014-12-28,Subsaharan Africa,Sierra Leone,Bombali,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296814,2014.99,Genbank,2014-12-28
MK0574,Ku296332,2014-12-28,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296332,2014.99,Genbank,2014-12-28
MK0704,Ku296663,2014-12-31,Subsaharan Africa,Sierra Leone,Bombali,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296663,2015.00,Genbank,2014-12-31
MK0020,Ku296551,2014-12-08,Subsaharan Africa,Sierra Leone,Bombali,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296551,2014.93,Genbank,2014-12-08
V20143550,Kr653228,2014-11-01,Subsaharan Africa,Sierra Leone,Bombali,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653228,2014.83,Genbank,2014-11-01
MK13013,Ku296454,2015-09-12,Subsaharan Africa,Sierra Leone,Bombali,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296454,2015.70,Genbank,2015-09-12
J0175,Kp759709,2014-11-11,Subsaharan Africa,Sierra Leone,Western Area,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759709,2014.86,Genbank,2014-11-11
J0166,Kp759704,2014-11-08,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759704,2014.85,Genbank,2014-11-08
G4868.1,Kr105275,2014-08-10,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105275,2014.61,Genbank,2014-08-10
J0009,Kp759734,2014-09-28,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759734,2014.74,Genbank,2014-09-28
J0027,Kp759678,2014-10-02,Subsaharan Africa,Sierra Leone,Bombali,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759678,2014.75,Genbank,2014-10-02
MK0725,Ku296629,2015-01-01,Subsaharan Africa,Sierra Leone,Bombali,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296629,2015.00,Genbank,2015-01-01
MK0864,Ku296334,2015-01-05,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296334,2015.01,Genbank,2015-01-05
75711_EMLH,Ku296596,2015-01-15,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296596,2015.04,Genbank,2015-01-15
J0010,Kp759639,2014-09-28,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759639,2014.74,Genbank,2014-09-28
J0031,Kp759607,2014-10-03,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759607,2014.75,Genbank,2014-10-03
G6089.1,Kr105345,2014-09-27,Subsaharan Africa,Sierra Leone,Tonkolili,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105345,2014.74,Genbank,2014-09-27
V20143918,Kr653240,2014-11-06,Subsaharan Africa,Sierra Leone,Western Rural,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653240,2014.85,Genbank,2014-11-06
G5997.1,Kr105338,2014-09-25,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105338,2014.73,Genbank,2014-09-25
V20141271,Kr653261,2014-09-24,Subsaharan Africa,Sierra Leone,Port Loko,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653261,2014.73,Genbank,2014-09-24
J0155,Kp759697,2014-11-07,Subsaharan Africa,Sierra Leone,Western Area,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759697,2014.85,Genbank,2014-11-07
J0119,Kp759667,2014-10-30,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759667,2014.83,Genbank,2014-10-30
J0036,Kp759694,2014-10-03,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759694,2014.75,Genbank,2014-10-03
J0035,Kp759609,2014-10-01,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759609,2014.75,Genbank,2014-10-01
J0033,Kp759692,2014-10-03,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759692,2014.75,Genbank,2014-10-03
J0058,Kp759724,2014-10-08,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759724,2014.77,Genbank,2014-10-08
MK0879,Ku296410,2015-01-05,Subsaharan Africa,Sierra Leone,Port Loko,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296410,2015.01,Genbank,2015-01-05
J0158,Kp759700,2014-11-08,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759700,2014.85,Genbank,2014-11-08
J0120,Kp759599,2014-10-30,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759599,2014.83,Genbank,2014-10-30
J0111,Kp759595,2014-10-30,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759595,2014.83,Genbank,2014-10-30
KT5226,Ku296297,2015-02-21,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296297,2015.14,Genbank,2015-02-21
KT5738,Ku296394,2015-03-06,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296394,2015.18,Genbank,2015-03-06
KT5388,Ku296355,2015-02-25,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296355,2015.15,Genbank,2015-02-25
KT5734,Ku296595,2015-03-06,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296595,2015.18,Genbank,2015-03-06
J0037,Kp759615,2014-10-03,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759615,2014.75,Genbank,2014-10-03
G5304.1,Kr105304,2014-08-28,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105304,2014.65,Genbank,2014-08-28
J0128,Kp759677,2014-10-31,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759677,2014.83,Genbank,2014-10-31
J0127,Kp759676,2014-10-30,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759676,2014.83,Genbank,2014-10-30
J0056,Kp759634,2014-10-08,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759634,2014.77,Genbank,2014-10-08
J0057,Kp759635,2014-10-05,Subsaharan Africa,Sierra Leone,Port Loko,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759635,2014.76,Genbank,2014-10-05
DML12458,Kt357823,2015-03-28,Subsaharan Africa,Sierra Leone,Western Urban,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357823,2015.24,Genbank,2015-03-28
J0161,Kp759701,2014-11-08,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759701,2014.85,Genbank,2014-11-08
J0025,Kp759666,2014-10-02,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759666,2014.75,Genbank,2014-10-02
V20143415,Kr653248,2014-10-31,Subsaharan Africa,Sierra Leone,Western Rural,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653248,2014.83,Genbank,2014-10-31
J0126,Kp759675,2014-10-31,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759675,2014.83,Genbank,2014-10-31
J0125,Kp759674,2014-10-31,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759674,2014.83,Genbank,2014-10-31
Makona-Italy-INMI1,Kp701371,2014-11-25,Subsaharan Africa,Sierra Leone,Western Area,Castilletti Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP701371,2014.90,Genbank,2014-11-25
V20144820,Kr653243,2014-11-15,Subsaharan Africa,Sierra Leone,Moyamba,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653243,2014.87,Genbank,2014-11-15
V20144819,Kr653299,2014-11-15,Subsaharan Africa,Sierra Leone,Moyamba,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653299,2014.87,Genbank,2014-11-15
J0145,Kp759693,2014-11-06,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759693,2014.85,Genbank,2014-11-06
J0122,Kp759671,2014-10-29,Subsaharan Africa,Sierra Leone,Western Urban,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759671,2014.82,Genbank,2014-10-29
75722_EMLH,Ku296791,2015-01-15,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296791,2015.04,Genbank,2015-01-15
V20143716,Kr653292,2014-11-04,Subsaharan Africa,Sierra Leone,Moyamba,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653292,2014.84,Genbank,2014-11-04
V20144610,Kr653270,2014-11-12,Subsaharan Africa,Sierra Leone,Tonkolili,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653270,2014.86,Genbank,2014-11-12
V20143753,Kr653236,2014-11-05,Subsaharan Africa,Sierra Leone,Tonkolili,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653236,2014.84,Genbank,2014-11-05
77580_EMLK,Ku296431,2015-01-03,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296431,2015.01,Genbank,2015-01-03
77673_EMLK,Ku296458,2015-01-08,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296458,2015.02,Genbank,2015-01-08
77710_EMLK,Ku296696,2015-01-10,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296696,2015.02,Genbank,2015-01-10
77716_EMLK,Ku296569,2015-01-10,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296569,2015.02,Genbank,2015-01-10
77676_EMLK,Ku296309,2015-01-08,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296309,2015.02,Genbank,2015-01-08
77679_EMLK,Ku296512,2015-01-08,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296512,2015.02,Genbank,2015-01-08
77563_EMLK,Ku296432,2015-01-02,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296432,2015.00,Genbank,2015-01-02
77711_EMLK,Ku296644,2015-01-10,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296644,2015.02,Genbank,2015-01-10
77630_EMLK,Ku296779,2015-01-06,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296779,2015.01,Genbank,2015-01-06
12161_EMLH,Ku296697,2015-02-21,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296697,2015.14,Genbank,2015-02-21
77648_EMLK,Ku296620,2015-01-07,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296620,2015.02,Genbank,2015-01-07
77667_EMLK,Ku296361,2015-01-08,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296361,2015.02,Genbank,2015-01-08
PL5868,Ku296550,2015-04-06,Subsaharan Africa,Sierra Leone,Kambia,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296550,2015.26,Genbank,2015-04-06
PL6086,Ku296651,2015-04-12,Subsaharan Africa,Sierra Leone,Kambia,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296651,2015.28,Genbank,2015-04-12
14830_EMLK,Ku296345,2015-04-27,Subsaharan Africa,Sierra Leone,Kambia,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296345,2015.32,Genbank,2015-04-27
14888_EMLK,Ku296423,2015-05-03,Subsaharan Africa,Sierra Leone,Kambia,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296423,2015.33,Genbank,2015-05-03
14782_EMLK,Ku296639,2015-04-23,Subsaharan Africa,Sierra Leone,Kambia,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296639,2015.31,Genbank,2015-04-23
J0093,Kp759760,2014-10-24,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759760,2014.81,Genbank,2014-10-24
DML25411,Kt357857,2015-03-10,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357857,2015.19,Genbank,2015-03-10
DML25344,Kt357856,2015-03-06,Subsaharan Africa,Sierra Leone,Kono,Smits Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT357856,2015.18,Genbank,2015-03-06
611_EMLH,Ku296619,2015-02-05,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296619,2015.10,Genbank,2015-02-05
389_EMLH,Ku296593,2015-01-23,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296593,2015.06,Genbank,2015-01-23
480_EMLH,Ku296491,2015-01-29,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296491,2015.08,Genbank,2015-01-29
554_EMLH,Ku296817,2015-02-03,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296817,2015.09,Genbank,2015-02-03
402_EMLH,Ku296495,2015-01-23,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296495,2015.06,Genbank,2015-01-23
489_EMLH,Ku296324,2015-01-30,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296324,2015.08,Genbank,2015-01-30
762_EMLH,Ku296728,2015-02-12,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296728,2015.11,Genbank,2015-02-12
KT4677,Ku296608,2015-02-03,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296608,2015.09,Genbank,2015-02-03
PL3984,Ku296330,2015-02-25,Subsaharan Africa,Sierra Leone,Port Loko,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296330,2015.15,Genbank,2015-02-25
651_EMLH,Ku296457,2015-02-07,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296457,2015.10,Genbank,2015-02-07
614_EMLH,Ku296597,2015-02-05,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296597,2015.10,Genbank,2015-02-05
KT4609,Ku296622,2015-01-31,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296622,2015.08,Genbank,2015-01-31
470_EMLH,Ku296662,2015-01-29,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296662,2015.08,Genbank,2015-01-29
468_EMLH,Ku296773,2015-01-29,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296773,2015.08,Genbank,2015-01-29
77574_EMLK,Ku296700,2015-01-03,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296700,2015.01,Genbank,2015-01-03
448_EMLH,Ku296797,2015-01-27,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296797,2015.07,Genbank,2015-01-27
511_EMLH,Ku296646,2015-02-01,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296646,2015.08,Genbank,2015-02-01
442_EMLH,Ku296375,2015-01-26,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296375,2015.07,Genbank,2015-01-26
KT4631,Ku296607,2015-02-02,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296607,2015.09,Genbank,2015-02-02
518_EMLH,Ku296747,2015-02-02,Subsaharan Africa,Sierra Leone,Sierra Leone,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296747,2015.09,Genbank,2015-02-02
V20141123,Kr653291,2014-09-22,Subsaharan Africa,Sierra Leone,Bo,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653291,2014.72,Genbank,2014-09-22
J0026,Kp759670,2014-10-02,Subsaharan Africa,Sierra Leone,Bombali,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759670,2014.75,Genbank,2014-10-02
V20140395,Kr653279,2014-09-02,Subsaharan Africa,Sierra Leone,Kono,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653279,2014.67,Genbank,2014-09-02
V20141582,Kr653230,2014-10-04,Subsaharan Africa,Sierra Leone,Bo,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653230,2014.76,Genbank,2014-10-04
G4861.1,Kr105274,2014-08-10,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105274,2014.61,Genbank,2014-08-10
J0006,Kp759630,2014-09-28,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759630,2014.74,Genbank,2014-09-28
G5684.1,Kr105316,2014-09-13,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105316,2014.70,Genbank,2014-09-13
G5685.1,Kr105317,2014-09-13,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105317,2014.70,Genbank,2014-09-13
KT4935,Ku296467,2015-02-11,Subsaharan Africa,Sierra Leone,Western Rural,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296467,2015.11,Genbank,2015-02-11
J0148,Kp759612,2014-11-06,Subsaharan Africa,Sierra Leone,Western Rural,Tong Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP759612,2014.85,Genbank,2014-11-06
75779_EMLH,Ku296407,2015-01-19,Subsaharan Africa,Sierra Leone,Western Urban,Arias Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KU296407,2015.05,Genbank,2015-01-19
