DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,WA,39,"$48,115.82 ","$13,533.05 ","$12,347.23 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,LA,40,"$42,998.30 ","$12,956.93 ","$11,103.08 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,GA,42,"$41,055.57 ","$12,066.36 ","$10,516.60 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MN,42,"$40,575.00 ","$17,051.02 ","$13,857.74 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MO,45,"$44,439.29 ","$13,025.36 ","$10,517.56 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,IN,51,"$40,489.51 ","$11,961.49 ","$11,016.80 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MD,55,"$19,221.25 ","$17,798.15 ","$16,123.36 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,VA,62,"$40,923.90 ","$14,158.45 ","$10,161.95 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MA,63,"$56,771.43 ","$20,725.76 ","$18,769.08 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,OH,64,"$53,310.91 ","$14,395.80 ","$11,387.33 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NC,65,"$36,834.95 ","$14,076.75 ","$11,620.72 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NJ,71,"$101,779.93 ","$16,025.13 ","$12,928.20 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MI,73,"$32,451.40 ","$13,639.44 ","$12,507.22 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,IL,103,"$53,772.13 ","$13,177.85 ","$11,739.61 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,PA,104,"$77,629.33 ","$14,887.13 ","$11,787.50 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,TX,105,"$69,917.55 ","$13,729.59 ","$11,539.51 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NY,123,"$59,747.15 ","$17,882.14 ","$15,552.72 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,CA,144,"$113,043.61 ","$19,529.07 ","$17,926.40 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,FL,144,"$69,554.78 ","$12,564.94 ","$10,631.56 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,ME,11,"$34,787.82 ","$8,912.09 ","$7,393.64 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,KS,12,"$30,369.42 ","$7,334.42 ","$6,157.42 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NE,14,"$32,555.29 ","$8,553.14 ","$6,365.29 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WV,14,"$20,144.29 ","$7,727.21 ","$6,287.36 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NV,16,"$93,369.75 ","$10,234.69 ","$7,000.44 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AR,17,"$38,015.29 ","$7,578.41 ","$6,185.82 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NH,17,"$24,316.88 ","$8,280.18 ","$7,275.41 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MS,19,"$45,302.00 ","$7,073.05 ","$5,575.32 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,KY,21,"$39,216.90 ","$8,553.86 ","$6,220.81 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IA,23,"$39,691.65 ","$8,828.30 ","$6,919.13 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,OK,23,"$29,764.30 ","$7,400.87 ","$6,272.74 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CO,30,"$46,418.07 ","$10,373.47 ","$6,858.63 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,LA,30,"$31,345.33 ","$8,189.27 ","$6,623.80 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AZ,33,"$44,270.61 ","$8,037.27 ","$7,167.64 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WA,33,"$27,095.00 ","$8,469.03 ","$7,429.12 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AL,34,"$29,219.44 ","$7,860.71 ","$5,661.50 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MO,34,"$35,325.15 ","$8,781.29 ","$6,086.06 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CT,35,"$46,655.91 ","$16,109.11 ","$7,285.63 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,SC,37,"$43,137.89 ","$8,358.00 ","$6,783.92 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MN,38,"$28,060.66 ","$9,483.61 ","$7,748.84 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WI,40,"$29,797.55 ","$9,282.53 ","$6,564.30 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,TN,47,"$32,921.30 ","$7,784.45 ","$5,952.34 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,VA,47,"$30,238.60 ","$8,292.51 ","$6,421.43 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IN,48,"$26,897.10 ","$7,545.06 ","$6,228.77 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,GA,56,"$31,255.95 ","$8,036.36 ","$6,677.41 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,OH,59,"$28,564.17 ","$7,700.78 ","$6,305.76 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NC,66,"$34,456.86 ","$9,871.64 ","$7,610.03 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MA,73,"$31,811.53 ","$10,696.71 ","$8,984.01 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MD,78,"$14,523.55 ","$13,456.96 ","$12,245.03 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MI,78,"$21,397.77 ","$8,575.27 ","$7,055.74 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NJ,79,"$73,302.44 ","$9,313.43 ","$7,852.76 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,PA,95,"$42,644.77 ","$9,076.62 ","$6,622.60 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IL,105,"$37,286.25 ","$9,201.64 ","$7,065.00 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NY,119,"$43,608.14 ","$11,349.98 ","$9,553.36 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,TX,128,"$42,341.95 ","$7,720.45 ","$6,304.35 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,FL,133,"$49,168.66 ","$7,526.76 ","$6,280.58 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CA,176,"$75,557.98 ","$12,953.08 ","$10,486.86 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MA,11,"$22,967.82 ","$8,830.27 ","$7,105.27 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,GA,12,"$23,787.92 ","$7,748.50 ","$4,554.58 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MI,12,"$18,487.50 ","$6,428.58 ","$5,439.42 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MN,13,"$14,263.77 ","$6,491.23 ","$5,463.54 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MS,13,"$27,682.15 ","$4,920.69 ","$3,881.23 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,OH,16,"$22,908.69 ","$6,701.69 ","$5,469.81 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,NJ,17,"$72,120.35 ","$6,759.06 ","$5,086.06 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,PA,17,"$42,299.82 ","$7,545.35 ","$5,627.71 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,IL,21,"$27,698.71 ","$5,935.29 ","$5,019.05 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,NY,27,"$28,716.74 ","$9,351.89 ","$7,632.19 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,CA,28,"$63,372.11 ","$7,726.79 ","$6,460.86 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,TX,36,"$32,742.42 ","$6,251.17 ","$4,581.47 "
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,FL,40,"$35,204.18 ","$6,346.55 ","$4,733.15 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NE,12,"$80,039.50 ","$19,341.42 ","$18,561.42 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,ME,13,"$31,066.69 ","$16,793.08 ","$16,176.00 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NM,14,"$44,831.14 ","$21,491.79 ","$11,038.36 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WV,15,"$31,775.00 ","$17,734.67 ","$12,976.27 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MS,16,"$79,734.00 ","$21,545.44 ","$19,637.88 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NH,17,"$41,103.88 ","$21,619.94 ","$20,575.94 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AL,22,"$77,752.95 ","$18,696.68 ","$13,939.68 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,ND,22,"$34,234.00 ","$16,568.14 ","$15,028.73 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,UT,23,"$39,013.43 ","$19,748.57 ","$15,916.30 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,HI,25,"$54,934.56 ","$23,903.56 ","$20,369.28 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NV,26,"$95,875.42 ","$17,292.27 ","$15,928.19 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OR,28,"$59,188.00 ","$21,115.11 ","$20,159.89 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,KS,30,"$100,786.67 ","$19,526.50 ","$19,237.30 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,LA,30,"$54,963.73 ","$19,909.57 ","$16,802.27 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OK,32,"$73,845.03 ","$18,995.63 ","$17,805.03 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IN,33,"$50,128.42 ","$20,134.33 ","$14,959.70 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,KY,37,"$67,641.03 ","$18,558.22 ","$16,357.16 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MD,43,"$28,228.72 ","$26,248.49 ","$22,080.67 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WI,44,"$55,386.20 ","$19,820.80 ","$16,347.02 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,SC,45,"$56,325.36 ","$19,112.56 ","$16,045.78 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AR,51,"$118,005.78 ","$32,293.61 ","$26,387.12 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IA,52,"$54,730.19 ","$19,732.88 ","$18,818.63 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CO,57,"$139,609.04 ","$26,548.60 ","$22,732.16 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MO,57,"$50,289.98 ","$18,738.98 ","$18,207.37 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,GA,58,"$76,413.10 ","$21,875.69 ","$18,660.95 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AZ,62,"$80,901.77 ","$19,514.44 ","$16,103.55 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CT,63,"$69,027.94 ","$25,145.73 ","$22,153.00 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,TN,68,"$88,114.91 ","$19,731.31 ","$17,826.32 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,VA,71,"$54,681.93 ","$20,368.28 ","$17,640.55 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NJ,90,"$101,022.76 ","$20,118.70 ","$19,088.51 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OH,90,"$57,386.86 ","$20,035.73 ","$15,134.48 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MA,108,"$50,343.16 ","$25,110.10 ","$23,330.60 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,PA,112,"$98,744.40 ","$23,548.81 ","$19,649.19 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WA,115,"$70,590.55 ","$23,082.82 ","$20,213.77 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NC,124,"$48,035.02 ","$22,375.81 ","$17,543.69 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MN,125,"$59,811.34 ","$27,929.93 ","$21,578.98 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MI,139,"$48,201.66 ","$20,953.98 ","$18,938.94 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,FL,151,"$107,600.70 ","$20,058.06 ","$17,460.86 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,TX,166,"$98,104.06 ","$21,081.95 ","$17,342.01 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IL,190,"$69,740.16 ","$22,126.07 ","$19,776.38 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NY,201,"$91,687.72 ","$28,968.33 ","$24,391.83 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CA,444,"$140,636.63 ","$31,464.09 ","$26,578.78 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MT,20,"$33,367.05 ","$8,730.80 ","$6,273.85 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,VT,24,"$35,749.13 ","$11,426.08 ","$10,701.63 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ID,25,"$39,208.20 ","$8,562.36 ","$7,385.08 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,SD,31,"$42,116.90 ","$8,497.39 ","$7,470.26 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,DE,35,"$41,002.69 ","$11,180.91 ","$7,779.69 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,RI,37,"$25,777.54 ","$11,989.70 ","$11,036.59 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NM,45,"$25,836.98 ","$10,943.42 ","$8,217.22 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,HI,57,"$21,207.53 ","$12,281.95 ","$10,243.42 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ND,59,"$22,814.59 ","$8,681.61 ","$6,413.14 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NV,59,"$63,414.93 ","$8,692.42 ","$8,176.39 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,DC,65,"$39,486.54 ","$11,050.80 ","$8,636.88 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ME,69,"$26,715.43 ","$11,223.72 ","$6,444.28 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NH,73,"$31,056.19 ","$11,051.49 ","$10,085.55 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,UT,74,"$35,934.12 ","$11,143.26 ","$9,067.34 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NE,77,"$31,845.94 ","$10,135.81 ","$7,102.86 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,KS,90,"$46,791.22 ","$8,451.08 ","$8,243.88 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,AL,113,"$47,901.34 ","$8,034.38 ","$6,676.80 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,CO,132,"$58,091.16 ","$11,658.17 ","$8,505.77 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,OK,137,"$45,517.60 ","$10,744.75 ","$8,486.47 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,AR,140,"$31,901.86 ","$9,217.40 ","$7,993.37 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,OR,145,"$42,469.72 ","$12,082.30 ","$10,844.92 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,IN,164,"$43,801.27 ","$9,270.01 ","$8,132.66 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,WV,168,"$21,290.64 ","$8,231.77 ","$7,030.49 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MS,216,"$31,955.42 ","$9,709.00 ","$8,686.40 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,WI,219,"$34,525.58 ","$9,223.99 ","$7,778.38 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,SC,225,"$38,801.97 ","$9,476.95 ","$8,123.85 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,LA,231,"$47,992.56 ","$10,315.96 ","$7,647.81 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,AZ,238,"$44,154.05 ","$10,007.16 ","$7,535.80 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,IA,259,"$24,723.81 ","$9,103.18 ","$7,982.67 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,TN,268,"$43,624.71 ","$8,347.48 ","$7,377.53 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,KY,279,"$36,905.94 ","$9,722.13 ","$8,054.46 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,GA,284,"$37,443.75 ","$9,570.77 ","$7,934.54 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MD,289,"$19,115.93 ","$17,705.22 ","$15,880.55 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,CT,293,"$35,905.30 ","$11,530.40 ","$9,406.10 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MO,294,"$34,194.25 ","$8,991.18 ","$8,167.00 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,VA,304,"$37,931.62 ","$9,695.17 ","$7,684.87 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MI,400,"$28,242.39 ","$10,242.71 ","$8,396.80 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,OH,402,"$36,246.78 ","$9,503.70 ","$7,527.21 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NC,427,"$35,602.61 ","$11,239.55 ","$8,527.94 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MA,446,"$37,248.41 ","$12,901.84 ","$11,024.70 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,WA,463,"$44,323.63 ","$11,247.60 ","$9,506.25 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MN,502,"$33,355.31 ","$11,130.26 ","$9,183.64 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NJ,613,"$52,991.28 ","$10,150.48 ","$9,371.98 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,FL,686,"$52,753.68 ","$9,164.04 ","$7,597.07 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,PA,701,"$53,575.16 ","$12,110.40 ","$8,996.65 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,TX,733,"$54,868.87 ","$9,770.52 ","$8,019.61 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,IL,760,"$39,275.52 ","$10,556.53 ","$8,401.06 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NY,785,"$47,102.17 ","$12,775.98 ","$10,700.90 "
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,CA,"1,400","$75,810.60 ","$14,177.25 ","$11,752.71 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,LA,11,"$26,427.73 ","$6,852.09 ","$5,868.45 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,MS,12,"$10,506.75 ","$7,711.67 ","$6,920.75 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,NJ,12,"$39,054.42 ","$7,976.75 ","$7,588.58 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,NV,12,"$15,197.58 ","$6,751.83 ","$6,602.00 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,MD,13,"$11,712.23 ","$10,802.31 ","$10,159.38 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,MO,13,"$17,793.85 ","$6,402.31 ","$6,006.00 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,IA,15,"$26,973.93 ","$7,125.07 ","$6,477.20 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,PA,15,"$36,780.87 ","$10,023.00 ","$8,186.47 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,GA,17,"$31,398.53 ","$7,633.53 ","$6,814.00 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC,OH,20,"$19,499.65 ","$6,471.85 ","$5,937.00 "
