fm_code,sort_code,Era_Name,Coal Basin,fm_name,comments
351SALN,3510300,Silurian, ,Salina Fm                                                                                                                                                                                                                                                      ,
351WBSH,3510300,Silurian, ,Wabash Fm                                                                                                                                                                                                                                                      ,COSUNA MIDWEST BASIN & ARCH COLS 11-15
351RNDL,3510400,Silurian, ,Randol Shale                                                                                                                                                                                                                                                   ,
351DCTR,3510500,Silurian, ,Decatur Ls                                                                                                                                                                                                                                                     ,
352CYGN,3520000,Silurian, ,Cayugan Series                                                                                                                                                                                                                                                 ,
354SLRNM,3540000,Silurian, ,Middle Silurian Series                                                                                                                                                                                                                                         ,
355NGRN,3550000,Silurian, ,Niagaran Series                                                                                                                                                                                                                                                ,
355SLRNM,3550100,Silurian, ,"Silurian, Middle Part                                                                                                                                                                                                                                          ",
355BRPT,3550300,Silurian, ,Brownsport Fm                                                                                                                                                                                                                                                  ,
355LBLV,3550300,Silurian, ,"Lobelville Ls Mbr, Brownsport Fm                                                                                                                                                                                                                               ",
355MSPG,3550300,Silurian, ,Moccasin Springs Fm                                                                                                                                                                                                                                            ,CORRELATIVE TO BROWNSPORT AND DIXON INCLUSIVE               
355MSWA,3550300,Silurian, ,"Mississinewa Shale Mbr, Wabash Fm                                                                                                                                                                                                                              ",COSUNA MIDWEST BASIN & ARCH COLS 11-15
355BOB,3550500,Silurian, ,"Bob Ls Mbr, Brownsport Fm                                                                                                                                                                                                                                      ",
355BCRV,3550700,Silurian, ,"Beech River Ls Mbr, Brownsport Fm                                                                                                                                                                                                                              ",
355DIXN,3550900,Silurian, ,Dixon Ls                                                                                                                                                                                                                                                       ,
355LCKP,3551100,Silurian, ,Lockport Dol                                                                                                                                                                                                                                                   ,
355LEGO,3551100,Silurian, ,Lego Ls                                                                                                                                                                                                                                                        ,
355LSVL,3551100,Silurian, ,Louisville Ls                                                                                                                                                                                                                                                  ,
355SCLR,3551100,Silurian, ,St. Claire Ls                                                                                                                                                                                                                                                  ,"CORRELATIVE TO LOUISVILLE, WALDRON, AND LAUREL INCLUSIVE    "
355WLDR,3551300,Silurian, ,Waldron Sh                                                                                                                                                                                                                                                     ,
355BGSX,3551500,Silurian, ,Big Six Sd                                                                                                                                                                                                                                                     ,
355BSHR,3551500,Silurian, ,Bisher Dol                                                                                                                                                                                                                                                     ,
355KEFR,3551500,Silurian, ,Keefer Ss                                                                                                                                                                                                                                                      ,
355LAUR,3551500,Silurian, ,Laurel Dol                                                                                                                                                                                                                                                     ,
357SLRNL,3570100,Silurian, ,"Silurian, Lower Part                                                                                                                                                                                                                                           ",
357CBOC,3570300,Silurian, ,Crab Orchard Fm                                                                                                                                                                                                                                                ,
357CLNT,3570300,Silurian, ,Clinton Sh                                                                                                                                                                                                                                                     ,
357COBR,3570300,Silurian, ,Crab Orchard and Brassfield Undif                                                                                                                                                                                                                              ,
357OSBR,3570300,Silurian, ,Osgood and Brassfield Undif                                                                                                                                                                                                                                    ,
357OSGD,3570300,Silurian, ,Osgood Fm                                                                                                                                                                                                                                                      ,
357RHLL,3570300,Silurian, ,Rose Hill                                                                                                                                                                                                                                                      ,
357CLNTS,3570500,Silurian, ,Clinton Sd                                                                                                                                                                                                                                                     ,
357BRSF,3570700,Silurian, ,Brassfield Dol                                                                                                                                                                                                                                                 ,
357SXCK,3570700,Silurian, ,Sexton Creek Ls                                                                                                                                                                                                                                                ,
357TCRR,3570700,Silurian, ,Tuscarora Ss                                                                                                                                                                                                                                                   ,
358ALXD,3580000,Silurian, ,Alexandrian Series                                                                                                                                                                                                                                             ,
360ODVC,3600100,Ordovician, ,Ordovician System                                                                                                                                                                                                                                              ,
361ODVCU,3610100,Ordovician, ,"Ordovician, Upper Part                                                                                                                                                                                                                                         ",
361CMBD,3610300,Ordovician, ,Cumberland Fm                                                                                                                                                                                                                                                  ,"CORRELATIVE TO DRKS, JUNT, ALCK, BLFK, & GRLK INCLUSIVE     "
361DRKS,3610300,Ordovician, ,Drakes Fm                                                                                                                                                                                                                                                      ,
361JUNT,3610300,Ordovician, ,Juniata Fm                                                                                                                                                                                                                                                     ,
361MQKT,3610300,Ordovician, ,Maquoketa Sh                                                                                                                                                                                                                                                   ,
361PCVL,3610300,Ordovician, ,"Preachersville Mbr, Drakes Fm                                                                                                                                                                                                                                  ",
361SLUD,3610300,Ordovician, ,"Saluda Mbr, Drakes Fm                                                                                                                                                                                                                                          ",
361SQTC,3610300,Ordovician, ,Sequatchie Fm                                                                                                                                                                                                                                                  ,CORRELATIVE TO JUNT & DRKS                                  
361BRDS,3610500,Ordovician, ,"Bardstown Mbr, Drakes Fm                                                                                                                                                                                                                                       ",
361RLDN,3610700,Ordovician, ,"Rowland Mbr, Drakes Fm                                                                                                                                                                                                                                         ",
361BLFK,3610800,Ordovician, ,Bullfork Fm                                                                                                                                                                                                                                                    ,"CORRELATIVE TO CMBD, REBA, & TRRL INCLUSIVE                 "
361ALCK,3610900,Ordovician, ,Ashlock Fm                                                                                                                                                                                                                                                     ,"CORRELATIVE TO CMBD, LPRS, & GRLK INCLUSIVE                 "
361MRBG,3610900,Ordovician, ,Martinsburg Fm                                                                                                                                                                                                                                                 ,"CORRELATIVE TO BLFK, CRLK, FRVW, CLFR, & KOPE INCLUSIVE     "
361RDVL,3610900,Ordovician, ,Reedsville Fm                                                                                                                                                                                                                                                  ,
361REBA,3610900,Ordovician, ,"Reba Mbr, Ashlock Fm                                                                                                                                                                                                                                           ",
361SNST,3611100,Ordovician, ,"Sunset Mbr, Ashlock Fm                                                                                                                                                                                                                                         ",
361TRRL,3611300,Ordovician, ,"Terrill Mbr, Ashlock Fm                                                                                                                                                                                                                                        ",
361GRLK,3611500,Ordovician, ,Grant Lake Ls                                                                                                                                                                                                                                                  ,"CORRELATIVE TO CMBD, REBA, AND TRRL                         "
361SGCK,3611700,Ordovician, ,"Stingy Creek Mbr, Ashlock Fm                                                                                                                                                                                                                                   ",
361GLBR,3611900,Ordovician, ,"Gilbert Mbr, Ashlock Fm                                                                                                                                                                                                                                        ",
361TATE,3612100,Ordovician, ,"Tate Mbr, Ashlock Fm                                                                                                                                                                                                                                           ",
361CLCK,3612300,Ordovician, ,Calloway Creek Ls                                                                                                                                                                                                                                              ,
361FRVW,3612300,Ordovician, ,Fairview Fm                                                                                                                                                                                                                                                    ,
361LPRS,3612300,Ordovician, ,Leipers Ls                                                                                                                                                                                                                                                     ,"CORRELATIVE TO SGCK, GLBR, TATE, FRVW, CLCK                 "
361GRRD,3612500,Ordovician, ,Garrard Ss                                                                                                                                                                                                                                                     ,
361CLKO,3612700,Ordovician, ,Clays Ferry & Kope Fms Undif                                                                                                                                                                                                                                   ,
361CTYS,3612700,Ordovician, ,Catheys Fm                                                                                                                                                                                                                                                     ,
361GRNV,3612700,Ordovician, ,Granville                                                                                                                                                                                                                                                      ,
361KOPE,3612700,Ordovician, ,Kope Fm                                                                                                                                                                                                                                                        ,
361CLFR,3612900,Ordovician, ,Clays Ferry Fm                                                                                                                                                                                                                                                 ,
361PPLS,3612900,Ordovician, ,"Point Pleasant Tongue, Clays Ferry                                                                                                                                                                                                                             ",
362CNCN,3620000,Ordovician, ,Cincinnatian Series                                                                                                                                                                                                                                            ,
364ODVCM,3640000,Ordovician, ,Middle Ordovician Series                                                                                                                                                                                                                                       ,
365CMPL,3650000,Ordovician, ,Champlainian Series                                                                                                                                                                                                                                            ,
365ODVCM,3650100,Ordovician, ,"Ordovician, Middle Part                                                                                                                                                                                                                                        ",
365KMCK,3650300,Ordovician, ,Kimmswick Ls                                                                                                                                                                                                                                                   ,
365LXTN,3650300,Ordovician, ,Lexington Ls                                                                                                                                                                                                                                                   ,
365LXTNU,3650300,Ordovician, ,"Lexington, upper part excludes TLGD                                                                                                                                                                                                                            ","UPPER PART OF LEXINGTON TO TOP OF GRIER, EXCLUDES TANGLEWOOD"
365SBRK,3650300,Ordovician, ,Sunnybrook                                                                                                                                                                                                                                                     ,
365TLGD,3650300,Ordovician, ,"Tanglewood Ls Mbr, Lexington Ls                                                                                                                                                                                                                                ",
365TLGD4,3650300,Ordovician, ,Tongue of the Tanglewood                                                                                                                                                                                                                                       ,SURFACE MAPPING UNIT FOR INTERTONGING FACIES                
365TRNT,3650300,Ordovician, ,Trenton Ls                                                                                                                                                                                                                                                     ,
365MLBG,3650500,Ordovician, ,"Millersburg Mbr, Lexington Ls                                                                                                                                                                                                                                  ",
365TLGD3,3650500,Ordovician, ,Tongue of the Tanglewood                                                                                                                                                                                                                                       ,SURFACE MAPPING UNIT FOR INTERTONGING FACIES                
365DVLH,3650700,Ordovician, ,"Devils Hollow Mbr, Lexington Ls                                                                                                                                                                                                                                ",
365TLGD2,3650700,Ordovician, ,Tongue of the Tanglewood                                                                                                                                                                                                                                       ,SURFACE MAPPING UNIT FOR INTERTONGING FACIES                
365SLPW,3650900,Ordovician, ,"Sulphur Well Mbr, Lexington Ls                                                                                                                                                                                                                                 ",
365BRNN,3651100,Ordovician, ,"Brannon Mbr, Lexington Ls                                                                                                                                                                                                                                      ",
365PRVL,3651300,Ordovician, ,"Perryville Ls Mbr, Lexington Ls                                                                                                                                                                                                                                ",
365TLGD1,3651400,Ordovician, ,Tongue of the Tanglewood                                                                                                                                                                                                                                       ,SURFACE MAPPING UNIT FOR INTERTONGING FACIES                
365GRIR,3651500,Ordovician, ,"Grier Ls Mbr, Lexington Ls                                                                                                                                                                                                                                     ",
365LXTNL,3651500,Ordovician, ,"Lexington, lower part GRIR to CDVL                                                                                                                                                                                                                             ",LOWER PART OF LEXINGTON FROM TOP OF GRIER TO BASE OF LXTN   
365LOGN,3651700,Ordovician, ,"Logana Mbr, Lexington Ls                                                                                                                                                                                                                                       ",
365CDVL,3651900,Ordovician, ,"Curdsville Ls Mbr, Lexington Ls                                                                                                                                                                                                                                ",
365SBRKL,3652100,Ordovician, ,Lower Sunnybrook                                                                                                                                                                                                                                               ,
365HGBG,3652300,Ordovician, ,High Bridge Gp                                                                                                                                                                                                                                                 ,"CORRELATIVE TO MCAV, TYRN, PCAV, ORGN, NLSN & PLTN INCLUSIVE"
365MCAV,3652300,Ordovician, ,"Mud Cave Bentonite, High Bridge Gp                                                                                                                                                                                                                             ",aka Millbrig                                                
365PLTN,3652300,Ordovician, ,Plattin Ls                                                                                                                                                                                                                                                     ,
365STRV,3652300,Ordovician, ,Stones River                                                                                                                                                                                                                                                   ,
365TYOR,3652300,Ordovician, ,Tyrone and Oregon Undif                                                                                                                                                                                                                                        ,
365TYRN,3652300,Ordovician, ,"Tyrone Ls, High Bridge Gp                                                                                                                                                                                                                                      ",
365PCAV,3652500,Ordovician, ,"Pencil Cave Bentonite, High Bridge                                                                                                                                                                                                                             ",aka Deicke                                                  
365HGBGL,3652700,Ordovician, ,"High Bridge Group, lower part                                                                                                                                                                                                                                  ",
365OCPN,3652700,Ordovician, ,Oregon and Camp Nelson Undif                                                                                                                                                                                                                                   ,SURFACE MAPPING UNIT ON A FEW CENTRAL KENTUCKY QUADRANGLES  
365ORGN,3652700,Ordovician, ,"Oregon Fm, High Bridge Gp                                                                                                                                                                                                                                      ",
365MRFB,3652900,Ordovician, ,Murfreesboro                                                                                                                                                                                                                                                   ,
365NLSN,3652900,Ordovician, ,"Camp Nelson Ls, High Bridge Gp                                                                                                                                                                                                                                 ",
365PCNC,3652900,Ordovician, ,Pecatonica Ls                                                                                                                                                                                                                                                  ,
365JCHM,3653100,Ordovician, ,Joachim Fm                                                                                                                                                                                                                                                     ,
365DTCN,3653300,Ordovician, ,Dutchtown Fm                                                                                                                                                                                                                                                   ,
365WLCK,3653300,Ordovician, ,Wells Creek Fm                                                                                                                                                                                                                                                 ,
365SPEV,3653500,Ordovician, ,St. Peter & Everton Undif                                                                                                                                                                                                                                      ,REQUESTED BY MCN FOR ROME TROUGH PROJECT                    
365STPR,3653500,Ordovician, ,St. Peter Ss                                                                                                                                                                                                                                                   ,
365EVRN,3653700,Ordovician, ,Everton Fm                                                                                                                                                                                                                                                     ,
367ODVCL,3670000,Ordovician, ,Lower Ordovician Series                                                                                                                                                                                                                                        ,
368CNDN,3680000,Ordovician, ,Canadian Series                                                                                                                                                                                                                                                ,
368ODVCL,3680100,Ordovician, ,"Ordovician, Lower Part                                                                                                                                                                                                                                         ",
368BKMN,3680300,Ordovician, ,"Beekmantown Dol, Upper Part Knox Gp                                                                                                                                                                                                                            ",
368CTTR,3680300,Ordovician, ,"Cotter Dol, Upper Part Knox Gp                                                                                                                                                                                                                                 ",
368KNOX,3680300,Ordovician, ,Knox Gp                                                                                                                                                                                                                                                        ,INCLUDES KNOXU (ORD) AND KNOXL (CMBR)                       
368KNOXU,3680300,Ordovician, ,"Knox Gp, Upper Part                                                                                                                                                                                                                                            ",
368JFRC,3680900,Ordovician, ,"Jefferson City Dol, Upper Part Knox                                                                                                                                                                                                                            ",
368RBDX,3681100,Ordovician, ,"Roubidoux Fm, Upper Part Knox Gp                                                                                                                                                                                                                               ",
368GSCD,3681300,Ordovician, ,"Gasconade Dol, Upper Part Knox Gp                                                                                                                                                                                                                              ",
368GNTR,3681500,Ordovician, ,"Gunter Ss, Upper Part Knox Gp                                                                                                                                                                                                                                  ",
368RSRN,3681500,Ordovician, ,"Rose Run Sd, Upper Part Knox Gp                                                                                                                                                                                                                                ",
370CMBR,3700100,Cambrian, ,Cambrian System                                                                                                                                                                                                                                                ,
371CMBRU,3710000,Cambrian, ,Upper Cambrian Series                                                                                                                                                                                                                                          ,
372SCRX,3720000,Cambrian, ,St. Croixian                                                                                                                                                                                                                                                   ,
372CMBRU,3720100,Cambrian, ,"Cambrian, Upper Part                                                                                                                                                                                                                                           ",
372KNOXL,3720300,Cambrian, ,"Knox Gp, Lower Part                                                                                                                                                                                                                                            ",
372CPRG,3720500,Cambrian, ,"Copper Ridge Dol, Lower Part Knox                                                                                                                                                                                                                              ",
372EMNC,3720500,Cambrian, ,"Eminence Dol, Lower Part Knox Gp                                                                                                                                                                                                                               ",
372CPRGL,3720700,Cambrian, ,"Copper Ridge Dol, lower unit                                                                                                                                                                                                                                   ",
372PTSI,3720700,Cambrian, ,"Potosi Dol, Lower Part Knox Gp                                                                                                                                                                                                                                 ",
372ELVN,3720900,Cambrian, ,"Elvins Fm, Lower Part Knox Gp                                                                                                                                                                                                                                  ",
372KRBL,3720900,Cambrian, ,Kerbel Fm                                                                                                                                                                                                                                                      ,OHIO TERM USED IN ROME TROUGH STUDY                         
374CMBRM,3740000,Cambrian, ,Middle Cambrian Series                                                                                                                                                                                                                                         ,
375ALBT,3750000,Cambrian, ,Albertan Series                                                                                                                                                                                                                                                ,
375CMBRL,3750100,Cambrian, ,"Cambrian, Lower Part                                                                                                                                                                                                                                           ",
375CNSG,3750500,Cambrian, ,Conasauga Gp                                                                                                                                                                                                                                                   ,
375ECLR,3750500,Cambrian, ,Eau Claire Fm                                                                                                                                                                                                                                                  ,EQUIVALENT TO CNSG AND ROME INCLUSIVE                       
375ELBK,3750500,Cambrian, ,Elbrook Fm                                                                                                                                                                                                                                                     ,
375MDVL,3750700,Cambrian, ,"Maynardville Ls, Conasauga Gp                                                                                                                                                                                                                                  ",
375CNSGS,3750900,Cambrian, ,Conasauga shale                                                                                                                                                                                                                                                ,
375NCCK,3750900,Cambrian, ,"Nolichucky Sh, Conasauga Gp                                                                                                                                                                                                                                    ",
375MRVL,3750920,Cambrian, ,"Maryville Ls, Conasauga Gp                                                                                                                                                                                                                                     ",
375RGRV,3750940,Cambrian, ,"Rogersville Sh, Conasauga Gp                                                                                                                                                                                                                                   ",
375RLDG,3750960,Cambrian, ,"Rutledge Ls, Conasauga Gp                                                                                                                                                                                                                                      ",
375PPKV,3750980,Cambrian, ,"Pumpkin Valley Sh, Conasauga Gp                                                                                                                                                                                                                                ",
375PCNUF,3750990,Cambrian, ,Pre-Conasauga unconformity                                                                                                                                                                                                                                     ,
375ROME,3751100,Cambrian, ,Rome Fm                                                                                                                                                                                                                                                        ,
375ROMEU,3751100,Cambrian, ,"Rome Fm, upper part                                                                                                                                                                                                                                            ",
375ROMEM,3751150,Cambrian, ,"Rome Fm, middle part                                                                                                                                                                                                                                           ",
375ROMEL,3751200,Cambrian, ,"Rome Fm, lower part                                                                                                                                                                                                                                            ",
